UserID,ItemID,overall,Visuals,Direction,Story,Acting
2,1800018620,5,5,5,5,5
2,1800021959,5,5,5,5,5
2,1800024314,5,5,5,5,5
2,1800040967,5,5,5,5,5
2,1800242776,2,1,2,1,2
2,1800253370,5,5,5,5,5
2,1800279640,5,5,5,5,5
2,1804899878,5,5,5,5,5
2,1807791560,3,2,5,3,4
2,1807816319,5,5,5,5,5
2,1807816356,5,5,5,5,5
2,1807839027,4,5,5,4,4
2,1808404300,4,5,5,5,5
2,1808404537,1,1,1,2,2
2,1808409330,5,5,5,5,5
2,1808409407,4,4,5,5,4
2,1808418750,2,1,2,3,4
4,1800018623,5,5,5,5,5
4,1800018639,5,5,5,4,4
4,1800018654,4,4,4,4,4
4,1800018659,3,5,3,3,3
4,1800018710,2,2,1,2,2
4,1800018727,5,5,4,5,5
4,1800018916,4,5,4,5,5
4,1800018964,5,5,5,5,5
4,1800019214,4,4,4,4,5
4,1800019218,5,5,4,5,5
4,1800019244,4,4,4,5,4
4,1800019267,2,4,3,4,4
4,1800019301,4,4,3,3,4
4,1800019304,5,5,5,5,5
4,1800019316,5,4,4,5,4
4,1800019376,4,4,4,4,5
4,1800019427,2,3,2,2,2
4,1800019457,3,5,4,4,4
4,1800019487,4,4,4,4,4
4,1800019506,3,3,3,4,2
4,1800019594,4,5,5,5,4
4,1800019665,4,4,4,4,5
4,1800019695,5,4,5,5,5
4,1800019714,5,5,5,5,5
4,1800019794,4,5,2,4,4
4,1800019910,3,4,5,3,4
4,1800019927,3,3,3,2,3
4,1800019955,3,4,2,3,3
4,1800020092,4,4,3,3,3
4,1800020154,4,4,4,4,4
4,1800020212,4,4,4,4,5
4,1800020333,4,5,4,3,3
4,1800020345,5,5,4,5,5
4,1800020413,4,4,5,4,5
4,1800020507,4,4,4,3,4
4,1800020600,4,4,4,4,4
4,1800020867,5,4,5,5,5
4,1800020981,5,5,5,5,5
4,1800021290,4,4,4,3,4
4,1800021319,5,5,4,5,4
4,1800021839,3,3,3,3,4
4,1800021959,4,4,4,4,4
4,1800021967,5,4,5,4,5
4,1800022060,2,4,3,2,3
4,1800022106,5,5,5,5,5
4,1800022746,4,4,4,4,4
4,1800022996,4,4,4,4,5
4,1800023240,5,5,5,5,5
4,1800023257,5,5,5,5,5
4,1800023362,5,5,4,4,4
4,1800023786,4,4,4,4,4
4,1800024106,4,4,4,5,5
4,1800024275,4,5,5,5,5
4,1800024594,3,4,3,3,3
4,1800024920,3,4,3,3,4
4,1800025180,4,4,3,4,4
4,1800025230,5,5,5,4,5
4,1800025331,5,5,5,5,5
4,1800025462,3,3,5,3,5
4,1800025496,5,5,5,5,5
4,1800025551,4,4,4,4,5
4,1800025632,5,5,5,5,5
4,1800025778,2,5,4,3,4
4,1800025808,4,5,4,5,4
4,1800025816,4,5,4,5,5
4,1800025962,4,4,4,4,4
4,1800026083,3,5,3,4,4
4,1800026145,5,3,5,5,4
4,1800026205,5,4,4,5,4
4,1800026322,2,4,3,2,4
4,1800026332,5,5,5,5,5
4,1800026398,5,5,5,5,5
4,1800026443,5,5,4,4,4
4,1800026459,5,3,5,5,5
4,1800026758,4,4,4,4,4
4,1800026869,4,4,4,5,5
4,1800027973,5,4,4,4,5
4,1800030906,5,5,4,4,4
4,1800033734,4,4,4,4,4
4,1800035718,4,4,4,3,4
4,1800037822,4,4,3,3,4
4,1800043163,3,3,3,3,3
4,1800048264,4,2,4,4,4
4,1800048705,4,4,4,4,5
4,1800048758,4,3,5,3,4
4,1800049346,3,3,5,3,4
4,1800049350,5,4,5,5,5
4,1800057086,5,4,5,5,5
4,1800057265,4,5,4,3,4
4,1800059423,4,3,5,3,5
4,1800060404,5,5,5,5,4
4,1800060688,5,5,5,5,5
4,1800061237,5,5,5,5,5
4,1800061629,4,4,4,4,5
4,1800061638,5,5,5,5,5
4,1800064203,5,4,5,4,5
4,1800064784,5,5,5,5,5
4,1800065666,5,5,5,5,5
4,1800068681,3,3,3,3,3
4,1800070006,5,5,4,5,4
4,1800070046,3,4,3,3,3
4,1800070872,5,5,5,5,5
4,1800071079,5,4,5,5,5
4,1800071536,5,4,5,4,5
4,1800071729,4,4,3,4,5
4,1800071965,3,3,2,3,3
4,1800072148,5,4,4,4,5
4,1800072405,4,4,4,4,4
4,1800072446,2,5,5,5,5
4,1800072614,5,4,4,5,5
4,1800076081,5,5,5,5,5
4,1800077675,2,3,3,3,2
4,1800079223,4,4,4,4,4
4,1800080788,5,5,5,4,5
4,1800082075,5,3,5,5,5
4,1800082735,4,4,4,4,4
4,1800084699,3,2,3,3,3
4,1800085519,5,4,4,5,3
4,1800091499,5,4,5,5,5
4,1800092995,5,5,5,5,5
4,1800093913,4,3,4,3,4
4,1800096752,4,4,5,4,4
4,1800098312,5,5,5,4,5
4,1800099328,4,4,4,4,4
4,1800099643,3,3,3,3,4
4,1800099797,4,4,4,4,5
4,1800101755,5,3,5,4,5
4,1800101896,5,5,5,5,5
4,1800102255,3,3,3,3,3
4,1800102855,5,5,5,5,5
4,1800102975,5,3,3,3,3
4,1800103151,5,3,4,4,5
4,1800104240,3,3,4,4,5
4,1800104804,3,2,2,3,3
4,1800105199,4,4,5,5,4
4,1800105827,5,3,3,4,3
4,1800106078,5,4,4,5,5
4,1800106359,5,3,3,2,4
4,1800106616,4,4,4,3,4
4,1800106663,5,4,5,5,5
4,1800107071,3,4,3,3,3
4,1800107366,5,5,4,4,4
4,1800108333,5,4,4,5,5
4,1800108522,5,5,5,5,5
4,1800109559,5,5,5,5,5
4,1800111258,5,5,5,4,5
4,1800114388,2,2,1,3,1
4,1800114768,3,3,3,3,4
4,1800116994,4,4,5,4,4
4,1800118781,1,2,1,1,2
4,1800119695,5,4,5,4,5
4,1800119952,3,3,3,3,2
4,1800120351,3,3,2,3,4
4,1800120902,5,4,4,5,5
4,1800121659,5,5,5,5,5
4,1800124151,4,4,4,3,4
4,1800125435,5,5,5,5,5
4,1800125964,5,5,5,5,5
4,1800127497,4,4,4,4,5
4,1800128578,4,4,5,2,4
4,1800134432,3,3,3,4,3
4,1800135814,4,3,4,5,4
4,1800136265,4,4,4,5,5
4,1800139083,5,4,5,5,5
4,1800139211,3,3,2,5,3
4,1800141720,4,5,4,3,4
4,1800148506,3,3,2,2,3
4,1800150158,5,4,5,4,5
4,1800155161,4,4,4,4,5
4,1800155580,5,5,5,5,5
4,1800156847,5,4,3,5,3
4,1800159233,4,4,4,4,4
4,1800160207,5,5,4,5,4
4,1800161524,4,5,4,3,3
4,1800168434,5,5,4,5,5
4,1800168982,4,4,4,4,4
4,1800169436,4,4,4,4,4
4,1800169924,4,4,4,4,4
4,1800171038,5,4,5,4,5
4,1800174038,5,5,5,5,5
4,1800174047,4,4,5,3,5
4,1800174173,5,5,5,5,5
4,1800175338,2,3,2,2,3
4,1800179562,4,4,5,2,5
4,1800180950,5,5,5,5,5
4,1800182207,5,4,5,5,5
4,1800182364,5,5,5,5,5
4,1800183423,5,5,5,5,5
4,1800183448,4,4,4,5,5
4,1800184255,4,4,4,5,5
4,1800185256,4,4,4,4,5
4,1800191019,4,4,4,5,5
4,1800192947,1,2,1,1,1
4,1800193033,4,4,4,4,3
4,1800194255,5,5,5,5,5
4,1800201304,4,4,3,3,4
4,1800201616,5,4,5,5,5
4,1800203488,3,4,3,3,5
4,1800206599,5,5,4,5,5
4,1800212379,5,5,5,5,4
4,1800215641,4,4,3,4,4
4,1800217371,5,4,4,5,5
4,1800223031,5,5,5,5,5
4,1800225384,3,4,4,3,4
4,1800227659,5,5,5,5,5
4,1800227783,5,5,5,5,5
4,1800228066,4,4,4,3,3
4,1800230900,4,4,4,4,4
4,1800231636,2,3,2,2,2
4,1800233344,5,4,5,5,5
4,1800238182,4,5,3,3,4
4,1800239356,4,4,3,4,3
4,1800243088,5,5,5,5,5
4,1800243172,3,4,3,2,4
4,1800244920,5,5,5,5,5
4,1800247298,5,5,4,4,4
4,1800249512,5,5,5,5,5
4,1800249977,5,4,5,3,5
4,1800250043,5,5,5,5,5
4,1800252092,5,5,5,5,5
4,1800252195,3,4,3,3,3
4,1800252204,5,4,3,5,5
4,1800252514,5,5,5,5,5
4,1800253182,4,4,2,3,2
4,1800255845,3,3,4,4,4
4,1800256345,4,5,4,4,4
4,1800258211,3,5,4,3,3
4,1800260787,4,4,4,4,5
4,1800261897,5,4,4,5,5
